,ID,latitude,longitude,geometry,aoi_area,total_harvest_area,harvest_date,2019-10-31,2019-11-05,2019-11-12,2019-11-17,2019-11-24,2019-11-29,2019-12-06,2019-12-11,2019-12-18,2019-12-23,2019-12-30
1906,ID1906,16.395622226635624,-16.067489205061158,"POLYGON ((-16.072137189578797 16.39110194835182, -16.07218640499598 16.40009499033545, -16.062841010158213 16.400142449829012, -16.06279222351494 16.391149380398335, -16.072137189578797 16.39110194835182))",104.16000000000001,10.81,2019-12-06,0.025057603686635944,0.03168202764976959,0.04809907834101383,0.05107526881720431,0.06182795698924732,0.06192396313364056,0.09946236559139786,0.10349462365591398,0.10378264208909371,0.10378264208909371,0.10378264208909371
1907,ID1907,16.40461527845024,-16.067538221411986,"POLYGON ((-16.07218640499598 16.40009499033545, -16.072235651188144 16.409088024493002, -16.06288982730838 16.409135511436038, -16.062841010158213 16.400142449829012, -16.07218640499598 16.40009499033545))",104.22,16.009999999999998,2019-12-06,0.030032623296872004,0.031088082901554407,0.05334868547303781,0.05507580118979083,0.07676069852235656,0.07896756860487432,0.11303012857417005,0.11360583381308773,0.12492803684513532,0.12521588946459417,0.15361734791786608
1908,ID1908,16.41360832243809,-16.067587268407046,"POLYGON ((-16.072235651188144 16.409088024493002, -16.07228492816191 16.41808105082064, -16.062938674972 16.418128565215586, -16.06288982730838 16.409135511436038, -16.072235651188144 16.409088024493002))",104.29,34.050000000000004,2019-12-18,0.047176143446159745,0.0506280563812446,0.055134720490938725,0.05523060696135775,0.07373669575222935,0.07373669575222935,0.13884360916674657,0.14526800268482118,0.2758653753955317,0.28507047655575796,0.32649343177677626
1909,ID1909,16.42260135859533,-16.06763634605293,"POLYGON ((-16.07228492816191 16.41808105082064, -16.072334235923904 16.427074069314536, -16.062987553155637 16.427121611163823, -16.062938674972 16.418128565215586, -16.07228492816191 16.41808105082064))",104.22,27.12,2019-12-30,0.043561696411437346,0.0491268470543082,0.0579543273843792,0.06726156208021494,0.07522548455190943,0.07522548455190943,0.09940510458645174,0.10573786221454616,0.17664555747457303,0.1807714450201497,0.26021876799078875
1910,ID1910,16.431594386918125,-16.06768545435624,"POLYGON ((-16.072334235923904 16.427074069314536, -16.072383574480757 16.436067079970858, -16.06303646186587 16.436114649276927, -16.062987553155637 16.427121611163823, -16.072334235923904 16.427074069314536))",104.31,48.43000000000001,2019-12-18,0.015818234109864826,0.023679417122040074,0.03690921292301793,0.03729268526507526,0.05454894065765507,0.05454894065765507,0.20889655833573006,0.2095676349343304,0.4293931550186943,0.43265266992618157,0.4642891381459112
1911,ID1911,16.440587407402667,-16.067734593323586,"POLYGON ((-16.072383574480757 16.436067079970858, -16.072432943839104 16.445060082785798, -16.06308540110928 16.445107679551064, -16.06303646186587 16.436114649276927, -16.072383574480757 16.436067079970858))",104.09,49.46,2019-12-18,0.04169468728984532,0.047362859064271304,0.05754635411662984,0.05783456624075319,0.07637621289268902,0.07637621289268902,0.16437698145835333,0.16456912287443556,0.4096454990873283,0.42155826688442694,0.4751657219713709
1912,ID1912,16.449580420045105,-16.067783762961568,"POLYGON ((-16.072432943839104 16.445060082785798, -16.072482344005586 16.454053077755503, -16.063134370892445 16.454100701982423, -16.06308540110928 16.445107679551064, -16.072432943839104 16.445060082785798))",104.10000000000001,46.580000000000005,2019-12-06,0.0138328530259366,0.014889529298751201,0.021037463976945246,0.023054755043227668,0.07819404418828049,0.07838616714697405,0.35533141210374636,0.3620557156580211,0.4349663784822286,0.43621517771373675,0.4474543707973102
1913,ID1913,16.45857342484164,-16.067832963276807,"POLYGON ((-16.072482344005586 16.454053077755503, -16.07253177498685 16.463046064876174, -16.063183371221957 16.46309371656717, -16.063134370892445 16.454100701982423, -16.072482344005586 16.454053077755503))",104.12,27.210000000000004,2019-10-31,0.0866308106031502,0.11601997694967345,0.14147137917787167,0.14204763734152898,0.16644256626968879,0.16644256626968879,0.1982328082981175,0.1982328082981175,0.257011140991164,0.2579715712639262,0.2613330772185939
1914,ID1914,16.467566421788437,-16.067882194275917,"POLYGON ((-16.07253177498685 16.463046064876174, -16.072581236789546 16.472039044143965, -16.063232402104408 16.47208672330149, -16.063183371221957 16.46309371656717, -16.07253177498685 16.463046064876174))",104.0,16.27,2019-10-31,0.05375,0.05836538461538462,0.0866346153846154,0.09173076923076924,0.11057692307692309,0.11067307692307693,0.15173076923076922,0.15278846153846154,0.15644230769230769,0.15644230769230769,0.15644230769230769
1915,ID1915,16.476559410881674,-16.06793145596553,"POLYGON ((-16.072581236789546 16.472039044143965, -16.07263072942033 16.481032015555073, -16.063281463546392 16.481079722181555, -16.063232402104408 16.47208672330149, -16.072581236789546 16.472039044143965))",104.22,25.21,2019-12-06,0.05238917674150835,0.06860487430435618,0.11024755325273461,0.11571675302245252,0.15342544617156018,0.15592016887353677,0.22788332373824605,0.23152945691805799,0.2397812320092113,0.2397812320092113,0.2418921512185761
