,ID,latitude,longitude,geometry,aoi_area,total_flooding_area,flooding_date,2021-07-04,2021-07-09,2021-07-16,2021-07-21,2021-07-28,2021-08-02,2021-08-09,2021-08-14,2021-08-21,2021-08-26,2021-09-02,2021-09-07,2021-09-14,2021-09-19,2021-09-26,2021-10-01,2021-10-08
2723,ID2723,16.478224301587304,-15.665897322617871,"POLYGON ((-15.670556915002516 16.473712428077203, -15.670587861236278 16.482706363567722, -15.661237517016344 16.48273611448084, -15.661207002204339 16.47374216185977, -15.670556915002516 16.473712428077203))",65.65,5.65,2021-09-26,0.015536938309215535,0.015536938309215535,0.016146230007616145,0.016146230007616145,0.017060167555217057,0.017060167555217057,0.03442498095963442,0.03442498095963442,0.039756283320639754,0.039756283320639754,0.05376999238385377,0.05376999238385377,0.05757806549885758,0.05757806549885758,0.0785986290936786,0.0785986290936786,0.08606245239908605
2724,ID2724,16.460265897449943,-15.656486624109197,"POLYGON ((-15.661146029599474 16.455754233312987, -15.661176506400086 16.464748201469238, -15.651827005633981 16.46477750092809, -15.65179695972187 16.455783515884793, -15.661146029599474 16.455754233312987))",59.95,1.86,2021-07-28,0.0016680567139282735,0.0016680567139282735,0.010008340283569641,0.010008340283569641,0.018682235195996662,0.018682235195996662,0.021517931609674728,0.021517931609674728,0.023686405337781484,0.023686405337781484,0.025688073394495414,0.025688073394495414,0.025688073394495414,0.025688073394495414,0.030859049207673062,0.030859049207673062,0.031025854879065888
2725,ID2725,16.469259870187155,-15.656516894900296,"POLYGON ((-15.661176506400086 16.464748201469238, -15.661207002204339 16.47374216185977, -15.651857070281075 16.47377147820718, -15.651827005633981 16.46477750092809, -15.661176506400086 16.464748201469238))",104.24000000000001,0.45000000000000007,2021-07-16,9.593246354566385e-05,9.593246354566385e-05,0.001343054489639294,0.001343054489639294,0.002590176515732924,0.002590176515732924,0.002973906369915579,0.002973906369915579,0.002973906369915579,0.002973906369915579,0.003549501151189562,0.003549501151189562,0.004221028396009209,0.004221028396009209,0.004221028396009209,0.004221028396009209,0.0043169608595548725
2726,ID2726,16.478253835157524,-15.656547184562744,"POLYGON ((-15.661207002204339 16.47374216185977, -15.661237517016344 16.48273611448084, -15.651887153667191 16.48276544771829, -15.651857070281075 16.47377147820718, -15.661207002204339 16.47374216185977))",84.17,0.8000000000000002,2021-07-16,0.0008316502316739932,0.0008316502316739932,0.004277058334323394,0.004277058334323394,0.004277058334323394,0.004277058334323394,0.005108708565997387,0.005108708565997387,0.007484852085065939,0.007484852085065939,0.007603659261019366,0.007603659261019366,0.007603659261019366,0.007603659261019366,0.007603659261019366,0.007603659261019366,0.009504574076274207
2727,ID2727,16.46029497992622,-15.647137329380556,"POLYGON ((-15.65179695972187 16.455783515884793, -15.651827005633981 16.46477750092809, -15.64247748601725 16.46480638318846, -15.6424478709977 16.455812381498564, -15.65179695972187 16.455783515884793))",33.22,0.19,2021-08-09,0.0,0.0,0.002408187838651415,0.002408187838651415,0.002408187838651415,0.002408187838651415,0.00571944611679711,0.00571944611679711,0.00571944611679711,0.00571944611679711,0.00571944611679711,0.00571944611679711,0.00571944611679711,0.00571944611679711,0.00571944611679711,0.00571944611679711,0.00571944611679711
2728,ID2728,16.469288969431002,-15.647167169146787,"POLYGON ((-15.651827005633981 16.46477750092809, -15.651857070281075 16.47377147820718, -15.642507119503108 16.473800377115616, -15.64247748601725 16.46480638318846, -15.651827005633981 16.46477750092809))",104.26,3.3499999999999996,2021-07-28,0.005371187416075197,0.005371187416075197,0.007769038941108767,0.007769038941108767,0.016017648187224245,0.016017648187224245,0.020813351237291385,0.020813351237291385,0.02206023403030884,0.02206023403030884,0.024649913677345096,0.024649913677345096,0.029445616727412235,0.029445616727412235,0.03145981200844043,0.03145981200844043,0.03213121043544983
2729,ID2729,16.47828295117043,-15.647197027515674,"POLYGON ((-15.651857070281075 16.47377147820718, -15.651887153667191 16.48276544771829, -15.642536771459262 16.48279436327629, -15.642507119503108 16.473800377115616, -15.651857070281075 16.47377147820718))",103.23,2.37,2021-07-04,0.0051341664244890055,0.0051341664244890055,0.008234040492105008,0.008234040492105008,0.01114017243049501,0.01114017243049501,0.013077593722755012,0.013077593722755012,0.013949433304272013,0.013949433304272013,0.015693112467306015,0.015693112467306015,0.016080596725758015,0.016080596725758015,0.01888985759953502,0.01888985759953502,0.02295844231328102
2730,ID2730,16.48727692514075,-15.647226904491234,"POLYGON ((-15.651887153667191 16.48276544771829, -15.65191725579638 16.491759409457668, -15.642566441889704 16.491788341666698, -15.642536771459262 16.48279436327629, -15.651887153667191 16.48276544771829))",8.200000000000001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2731,ID2731,16.460323645322386,-15.637788015938467,"POLYGON ((-15.6424478709977 16.455812381498564, -15.64247748601725 16.46480638318846, -15.63312794782022 16.464834848246625, -15.633098763697243 16.455840830150592, -15.6424478709977 16.455812381498564))",0.05,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2732,ID2732,16.46931765135427,-15.637817424675795,"POLYGON ((-15.64247748601725 16.46480638318846, -15.642507119503108 16.473800377115616, -15.633157150140828 16.47382885858138, -15.63312794782022 16.464834848246625, -15.64247748601725 16.46480638318846))",74.71000000000001,2.5100000000000002,2021-07-28,0.002543166912059965,0.002543166912059965,0.003881675813144157,0.003881675813144157,0.016195957703118723,0.016195957703118723,0.020479186186588137,0.020479186186588137,0.021282291527238654,0.021282291527238654,0.023022353098648102,0.023022353098648102,0.025833221790924905,0.025833221790924905,0.03199036273591219,0.03199036273591219,0.03359657341721322
