,Unnamed: 0,ID,year,date,planted_area,latitude,longitude,aoi_area,total_flooding_area,flooding_date,geometry
170271,17,ID1503,2020,2020-04-27,57.39,16.368199968593682,-16.15143611703645,104.0,57.39,2020-02-22,"POLYGON ((-16.156081435495842 16.363677983763083, -16.15613441005177 16.37267079144004, -16.146790588940643 16.372721899532515, -16.146738042292835 16.363729062255036, -16.156081435495842 16.363677983763083))"
170272,18,ID1503,2020,2020-05-02,57.39,16.368199968593682,-16.15143611703645,104.0,57.39,2020-02-22,"POLYGON ((-16.156081435495842 16.363677983763083, -16.15613441005177 16.37267079144004, -16.146790588940643 16.372721899532515, -16.146738042292835 16.363729062255036, -16.156081435495842 16.363677983763083))"
170273,19,ID1503,2020,2020-05-07,57.39,16.368199968593682,-16.15143611703645,104.0,57.39,2020-02-22,"POLYGON ((-16.156081435495842 16.363677983763083, -16.15613441005177 16.37267079144004, -16.146790588940643 16.372721899532515, -16.146738042292835 16.363729062255036, -16.156081435495842 16.363677983763083))"
170274,20,ID1503,2020,2020-05-12,57.39,16.368199968593682,-16.15143611703645,104.0,57.39,2020-02-22,"POLYGON ((-16.156081435495842 16.363677983763083, -16.15613441005177 16.37267079144004, -16.146790588940643 16.372721899532515, -16.146738042292835 16.363729062255036, -16.156081435495842 16.363677983763083))"
170275,21,ID1503,2020,2020-05-17,57.39,16.368199968593682,-16.15143611703645,104.0,57.39,2020-02-22,"POLYGON ((-16.156081435495842 16.363677983763083, -16.15613441005177 16.37267079144004, -16.146790588940643 16.372721899532515, -16.146738042292835 16.363729062255036, -16.156081435495842 16.363677983763083))"
170276,22,ID1503,2020,2020-05-22,57.39,16.368199968593682,-16.15143611703645,104.0,57.39,2020-02-22,"POLYGON ((-16.156081435495842 16.363677983763083, -16.15613441005177 16.37267079144004, -16.146790588940643 16.372721899532515, -16.146738042292835 16.363729062255036, -16.156081435495842 16.363677983763083))"
170277,23,ID1503,2020,2020-05-27,57.39,16.368199968593682,-16.15143611703645,104.0,57.39,2020-02-22,"POLYGON ((-16.156081435495842 16.363677983763083, -16.15613441005177 16.37267079144004, -16.146790588940643 16.372721899532515, -16.146738042292835 16.363729062255036, -16.156081435495842 16.363677983763083))"
170278,0,ID1504,2020,2020-02-02,0.0,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170279,1,ID1504,2020,2020-02-07,0.0,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170280,2,ID1504,2020,2020-02-12,0.0,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
170281,3,ID1504,2020,2020-02-17,0.0,16.377192787172767,-16.151488894154582,104.03,43.27,2020-02-27,"POLYGON ((-16.15613441005177 16.37267079144004, -16.15618741777388 16.38166359127965, -16.146843168486757 16.381714728975254, -16.146790588940643 16.372721899532515, -16.15613441005177 16.37267079144004))"
