,ID,Latitude,Longitude,nasapid,LatNP,LonNP,geometry,aoi_area,total_flooding_area,flooding_date,2022-07-01,2022-07-06,2022-07-11,2022-07-16,2022-07-21,2022-07-26,2022-07-31,2022-08-05,2022-08-10,2022-08-15,2022-08-20,2022-08-25,2022-08-30,2022-09-04,2022-09-19,2022-09-24,2022-09-29
10,5522925,16.5416666667,-16.2916666667,153688,16.75,-16.25,"MULTIPOLYGON (((-16.333333333333314 16.5, -16.333333333333314 16.583333333333314, -16.25 16.583333333333314, -16.25 16.5, -16.333333333333314 16.5)))",865.67,44,2022-09-19,0.000797070477202629,0.000877932699527534,0.00536001016553652,0.00629570159529613,0.00641121905576028,0.00919518985294627,0.00919518985294627,0.0106160546166553,0.0138505435096515,0.0144281308119722,0.0187600355793778,0.0187600355793778,0.0230688368546906,0.0230688368546906,0.0394607644945534,0.0508276826042256,0.0508276826042256
11,5522930,16.5416666667,-15.875,153689,16.75,-15.75,"MULTIPOLYGON (((-15.916666666666686 16.5, -15.916666666666686 16.583333333333314, -15.833333333333314 16.583333333333314, -15.833333333333314 16.5, -15.916666666666686 16.5)))",948.7,35.65,2022-09-04,0.00127542953515337,0.00168651839359123,0.0050384737008538,0.00763149573100032,0.00811636976915779,0.00924422894487193,0.00924422894487193,0.0118583324549383,0.011932117634658,0.0132813323495309,0.0164013913776747,0.0165489617371139,0.0185095393696638,0.0348898492674186,0.0349320122272584,0.0375777379572046,0.0375777379572046
12,5522927,16.5416666667,-16.125,153688,16.75,-16.25,"MULTIPOLYGON (((-16.16666666666663 16.5, -16.16666666666663 16.583333333333314, -16.08333333333337 16.583333333333314, -16.08333333333337 16.5, -16.16666666666663 16.5)))",4323.02,367.01,2022-08-20,0.00037936442579493,0.00037936442579493,0.00207262515556255,0.00368723716290926,0.00384916100318759,0.00467497258860704,0.00515611771400549,0.0121674199980569,0.0229677401446211,0.0285795578091242,0.0615287461080448,0.0662430430578623,0.0688037529319781,0.0688037529319781,0.075014688805511,0.0848966694579253,0.0848966694579253
13,5522934,16.5416666667,-15.5416666667,153689,16.75,-15.75,"MULTIPOLYGON (((-15.583333333333371 16.5, -15.583333333333371 16.583333333333314, -15.5 16.583333333333314, -15.5 16.5, -15.583333333333371 16.5)))",2145.3,80.26,2022-08-20,0.00138908311191908,0.00148231016641029,0.00266163240572414,0.00286673192560481,0.00307649279821004,0.00309979956183284,0.00350067589614506,0.0072763716030392,0.0125763296508647,0.0141099146972451,0.026854053046194,0.0318883139887195,0.0327506642427632,0.0327506642427632,0.0357199459283084,0.0372115788001678,0.0374120169673239
14,5522933,16.5416666667,-15.625,153689,16.75,-15.75,"MULTIPOLYGON (((-15.666666666666629 16.5, -15.666666666666629 16.583333333333314, -15.583333333333371 16.583333333333314, -15.583333333333371 16.5, -15.666666666666629 16.5)))",1342.94,22.37,2022-08-20,0.000826544745111472,0.000826544745111472,0.00233815360328831,0.00257643677305017,0.00332851802761106,0.00333596437666612,0.00334341072572118,0.00348489135776729,0.00367105008414374,0.00437845324437428,0.013924672732959,0.0158756161853843,0.0158756161853843,0.0158756161853843,0.0158830625344394,0.0166574828361654,0.0166574828361654
15,5518605,16.4583333333,-16.2916666667,152968,16.25,-16.25,"MULTIPOLYGON (((-16.333333333333314 16.41666666666663, -16.333333333333314 16.5, -16.25 16.5, -16.25 16.41666666666663, -16.333333333333314 16.41666666666663)))",5119.12,281.57,2022-09-19,0.00142602634827861,0.00142602634827861,0.00274851927675069,0.00308060760443201,0.00417649908578037,0.0120391786088234,0.016309443810655,0.0254516401256466,0.0280067667880417,0.0298430198940443,0.0355314976011502,0.0356115894919439,0.0404874275266061,0.0404874275266061,0.0520362874869118,0.055003594367782,0.055003594367782
16,5522931,16.5416666667,-15.7916666667,153689,16.75,-15.75,"MULTIPOLYGON (((-15.833333333333314 16.5, -15.833333333333314 16.583333333333314, -15.75 16.583333333333314, -15.75 16.5, -15.833333333333314 16.5)))",236.44,1.15,2022-07-26,0.000169176112332939,0.000465234308915581,0.000507528336998816,0.00126882084249704,0.00126882084249704,0.00351040433090848,0.00351040433090848,0.00401793266790729,0.00401793266790729,0.00406022669599053,0.00406022669599053,0.00406022669599053,0.004144814752157,0.00418710878024023,0.00418710878024023,0.00486381322957198,0.00486381322957198
17,5501324,16.125,-16.375,152968,16.25,-16.25,"MULTIPOLYGON (((-16.416666666666686 16.083333333333428, -16.416666666666686 16.166666666666686, -16.333333333333314 16.166666666666686, -16.333333333333314 16.083333333333428, -16.416666666666686 16.083333333333428)))",8602.56,243.91,2022-07-26,0.000146468028121861,0.00016739203213927,0.00151001562325633,0.00221445709184243,0.00281195365100621,0.00984009411152029,0.00989472901089908,0.0108979187590671,0.0135134192612432,0.0168205743406614,0.0181271621470818,0.0183259401852472,0.0225212029907376,0.0225212029907376,0.0259725012089425,0.0283531878882565,0.0283531878882565
18,5518609,16.4583333333,-15.9583333333,152969,16.25,-15.75,"MULTIPOLYGON (((-16 16.41666666666663, -16 16.5, -15.916666666666686 16.5, -15.916666666666686 16.41666666666663, -16 16.41666666666663)))",7911.29,1332.1,2022-09-04,0.00318658524715944,0.00332689106327792,0.0078343734081294,0.00910723788408717,0.00944346623622696,0.012968807868249,0.012968807868249,0.02282307942194,0.0376626315051022,0.0508501142038783,0.0759054465200998,0.0813141725306492,0.105683143962615,0.138651218701375,0.152204002128604,0.168379619505795,0.168379619505795
19,5501323,16.125,-16.4583333333,152968,16.25,-16.25,"MULTIPOLYGON (((-16.5 16.083333333333428, -16.5 16.166666666666686, -16.416666666666686 16.166666666666686, -16.416666666666686 16.083333333333428, -16.5 16.083333333333428)))",3556.02,121.11,2022-08-15,0.000818330605564648,0.000835203401555672,0.00438973909033133,0.00590547859685829,0.00616981906738432,0.00766024937992475,0.00773336482921918,0.00785991079915186,0.00977216101146788,0.0240381100218784,0.0252613877312276,0.0273648629647752,0.0286331347967672,0.0286331347967672,0.0307281736323193,0.0340577387078813,0.0340577387078813
